#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000462 205.791 +00.053 0.539 000004 00.242 09.136 01.705
000000000218 142.040 -00.368 0.601 000004 00.151 23.370 02.727
000000000017 036.580 +00.030 0.455 000004 00.168 18.932 02.455
000000000582 207.001 -00.158 0.595 000004 00.135 29.262 03.052
000000000181 036.311 -00.738 0.579 000004 00.179 16.628 02.301
000000000210 150.758 -00.568 0.600 000004 00.099 54.773 04.176
000000000041 150.048 +00.557 0.490 000004 00.248 08.663 01.661
000000000176 150.116 -00.071 0.572 000004 00.220 11.031 01.874
000000000486 344.631 -00.098 0.547 000004 00.215 11.512 01.914
000000000057 140.247 -00.769 0.491 000004 00.252 08.411 01.636
000000000407 345.520 +00.304 0.545 000004 00.156 22.049 02.649
000000000170 013.575 -00.948 0.583 000004 00.171 18.181 02.406
000000000490 343.707 -00.722 0.554 000004 00.287 06.479 01.436
000000000513 219.139 -00.189 0.586 000004 00.143 26.081 02.881
000000000240 150.682 -00.720 0.673 000004 00.039 346.428 10.501
000000000204 011.556 -00.538 0.611 000004 00.146 25.056 02.824
000000000206 150.964 -00.804 0.577 000004 00.150 23.582 02.740
000000000613 188.747 +00.169 0.647 000004 00.095 59.509 04.352
000000000207 155.627 -00.416 0.604 000004 00.106 47.265 03.879
000000000006 156.394 -00.050 0.462 000004 00.117 38.861 03.517
000000000234 010.301 -00.065 0.624 000004 00.068 115.572 06.065
000000000620 204.842 -00.532 0.664 000004 00.074 96.141 05.532
000000000511 345.950 +00.151 0.585 000004 00.257 08.094 01.605
000000000421 205.680 -00.239 0.521 000004 00.261 07.832 01.579
000000000007 185.533 -00.544 0.443 000004 00.083 77.789 04.976
000000000476 187.533 -00.185 0.540 000004 00.206 12.518 01.996
000000000042 139.524 -00.169 0.492 000004 00.164 19.822 02.512
000000000423 205.485 +00.385 0.535 000004 00.211 11.986 01.953
000000000230 163.079 +00.549 0.642 000004 00.117 38.662 03.508
000000000044 141.188 -00.080 0.487 000004 00.156 21.824 02.636
000000000425 227.045 +00.257 0.543 000004 00.205 12.715 02.012
000000000475 218.617 +00.026 0.555 000004 00.216 11.383 01.903
000000000198 162.296 -00.355 0.581 000003 00.109 25.096 02.826
000000000144 035.455 -00.275 0.530 000003 00.160 11.707 01.930
000000000196 011.679 +00.422 0.572 000003 00.140 15.280 02.205
000000000194 154.989 -00.523 0.588 000003 00.111 24.365 02.785
000000000197 155.875 +00.398 0.565 000003 00.157 12.232 01.973
000000000140 015.821 -00.407 0.551 000003 00.167 10.773 01.852
000000000593 325.526 -00.237 0.628 000003 00.145 14.224 02.128
000000000142 153.405 -00.142 0.529 000003 00.222 06.105 01.394
000000000192 140.440 -00.595 0.585 000003 00.238 05.309 01.300
